idinmueble,cct1,cct2,cct3,cct4,inmueble,principal,alcaldia,coord_x,coord_y,CVEGEO_AGEB,CVE_MUN,CVE_AGEB,matricula_911,fuente_matricula_base,mat_2024_2025,mat_2025_2026,mat_2026_2027,mat_2027_2028,mat_2028_2029,mat_2029_2030,mat_2030_2031,mat_2031_2032,mat_2032_2033,mat_2033_2034,mat_2034_2035,mat_2035_2036,observaciones
802005,09DTV0106G,,,,TELESECUNDARIA 106,Secundaria,Iztapalapa,-99.091856,19.352515,0900700013967,007,3967,37,Estadística 911,37,37,36,35,35,34,33,33,32,31,31,31,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802097,09DPR1839Z,09DPR0837U,09DPR1840O,,"ESC. PRIM. ANEXA A LA BENM ""LUIS HIDALGO MONROY""",Primaria,Miguel Hidalgo,-99.170178,19.447022,0901600010088,016,0088,740,Estadística 911,740,724,708,692,677,662,648,633,619,606,593,579,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802104,09DCO0027U,09DCO0028T,,,CLÍNICA DE LA CONDUCTA,Especial - CAM,Miguel Hidalgo,-99.20508,19.432193,0901600010637,016,0637,184,Estadística 911,184,187,190,194,197,201,204,208,212,216,219,223,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802112,09DPR1733F,09DBN0048I,,,CENTRO ESCOLAR MÉXICO,Primaria,Miguel Hidalgo,-99.194349,19.448777,0901600011349,016,1349,289,Estadística 911,289,283,276,270,265,259,253,247,242,237,231,227,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802599,09DJN1078S,,,,VENUSTIANO CARRANZA,Preescolar,Venustiano Carranza,-99.115043,19.418168,0901700010920,017,0920,53,Estadística 911,53,51,49,47,45,43,41,40,38,36,35,34,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802664,09DPR2112F,,,,VOCEADORES DE MÉXICO,Primaria,Venustiano Carranza,-99.100556,19.419643,0901700010992,017,0992,87,Estadística 911,87,84,83,80,78,76,74,72,70,68,66,64,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802800,09DJN0929U,09DJN1406V,,,PALMATITLA,Preescolar,Gustavo A. Madero,-99.136892,19.551271,0900500013089,005,3089,196,Estadística 911,196,188,181,173,166,159,153,147,141,135,130,124,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802803,09DML0104S,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 39,Especial - CAM,Benito Juárez,-99.14246,19.368383,0901400010774,014,0774,92,Estadística 911,92,94,96,99,101,104,106,109,111,114,117,120,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802804,09DJN1236R,,,,GUTY CARDENAS,Preescolar,Álvaro Obregón,-99.254611,19.357417,090100001231A,010,231A,211,Estadística 911,211,204,196,189,183,176,169,164,158,152,147,142,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802805,09DML0119U,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 99,Especial - CAM,Azcapotzalco,-99.151735,19.472343,0900200010561,002,0561,51,Estadística 911,51,53,55,57,60,62,65,68,70,73,76,80,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802806,09DML0058X,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 87,Especial - CAM,Cuauhtémoc,-99.132153,19.456066,0901500010150,015,0150,33,Estadística 911,33,35,37,39,42,44,47,50,53,56,59,63,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802807,09DML0117W,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 97,Especial - CAM,Miguel Hidalgo,-99.16938,19.437729,090160001050A,016,050A,43,Estadística 911,43,43,44,45,46,47,48,48,49,50,51,52,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802810,09DTV0033E,,,,PROF. GUILLERMO SOLIS VELARDE,Secundaria,Coyoacán,-99.157685,19.332934,0900300011158,003,1158,88,Estadística 911,88,86,83,82,80,78,76,73,72,70,69,67,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802816,09DTV0060B,,,,TELESECUNDARIA 60,Secundaria,Venustiano Carranza,-99.109423,19.432046,0901700010526,017,0526,56,Estadística 911,56,55,54,53,52,50,49,49,48,47,45,44,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
802817,09DML0037K,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 17,Especial - CAM,Coyoacán,-99.133815,19.350195,0900300010179,003,0179,63,Estadística 911,63,64,64,65,66,66,67,68,69,69,70,71,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
880269,09DPR1593W,,,,MAESTRA JUANA PALACIOS,Primaria,Azcapotzalco,-99.150782,19.475421,0900200010400,002,0400,269,Estadística 911,269,262,254,247,239,233,226,220,214,207,202,196,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
880891,09DPR0930Z,,,,QUETZALCOATL,Primaria,Cuauhtémoc,-99.132287,19.413283,0901500011163,015,1163,143,Estadística 911,143,139,135,131,128,124,120,117,114,111,108,105,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
882097,09DPR1862Z,,,,"ESC. PRIM. ANEXA A LA BENM ""REPÚBLICA DEL BRASIL""",Primaria,Miguel Hidalgo,-99.170178,19.447022,0901600010088,016,0088,418,Estadística 911,418,409,400,391,382,374,366,358,350,342,334,327,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
882603,09DPR1062H,,,,MANUEL M. PONCE,Primaria,Venustiano Carranza,-99.107805,19.439107,0901700010418,017,0418,136,Estadística 911,136,132,128,125,122,118,115,112,109,105,103,100,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
917103,09FLB0002N,09FLB4002O,,,CENTRAL DE LABORATORIOS Y TALLERES No. 2,Secundaria,AZCAPOTZALCO,,,,,,0,Estadística 911,0,0,0,0,0,0,0,0,0,0,0,0,Sin matrícula 911 disponible; se muestra con valor cero y no se incorpora a los totales proyectados. Sin asociación espacial a un AGEB; sí se incluye en el total de su alcaldía cuando la alcaldía está identificada. Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
920354,09FLB0001O,,,,CENTRAL DE LABORATORIOS Y TALLERES No. 1 DR. ENRIQUE BELTRÁN CASTILLO,Secundaria,,,,,,,0,Estadística 911,0,0,0,0,0,0,0,0,0,0,0,0,Sin matrícula 911 disponible; se muestra con valor cero y no se incorpora a los totales proyectados. Sin asociación espacial a un AGEB; sí se incluye en el total de su alcaldía cuando la alcaldía está identificada. Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
700027,09DPR0024Y,09DES0342D,,,CENTRO DE INNOVACIÓN EDUCATIVA PARA ALUMNOS CON ALTAS CAPACIDADES,Primaria,Miguel Hidalgo,-99.178787,19.401743,0901600011207,016,1207,0,Estadística 911,0,0,0,0,0,0,0,0,0,0,0,0,Sin matrícula 911 disponible; se muestra con valor cero y no se incorpora a los totales proyectados. Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800001,09DPR1842M,,,,ADOLFO RUIZ CORTINES,Primaria,Álvaro Obregón,-99.208827,19.378925,0901000010474,010,0474,312,Estadística 911,312,305,297,290,284,277,270,264,258,252,246,240,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800002,09DPR1479D,,,,ALBERTO LENZ,Primaria,Álvaro Obregón,-99.194837,19.340174,0901000011241,010,1241,137,Estadística 911,137,134,130,128,125,122,119,116,113,111,108,106,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800003,09DJN0133O,,,,AMPARO PEREYRA,Preescolar,Álvaro Obregón,-99.201919,19.358761,0901000010968,010,0968,46,Estadística 911,46,44,43,41,40,38,37,36,35,33,32,31,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800004,09DJN0684Q,,,,ANA FRANK,Preescolar,Álvaro Obregón,-99.191272,19.342226,0901000011203,010,1203,82,Estadística 911,82,79,76,73,71,68,66,63,61,59,57,55,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800005,09DJN1121Q,,,,ANTONIO VIVALDI,Preescolar,Álvaro Obregón,-99.210786,19.380915,0901000011523,010,1523,168,Estadística 911,168,162,156,151,145,140,135,130,126,121,117,113,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800006,09DPR1741O,,,,ASOCIACION DE FERRETEROS DE MÉXICO,Primaria,Álvaro Obregón,-99.199976,19.393953,0901000010116,010,0116,143,Estadística 911,143,139,136,133,130,127,124,121,118,115,112,110,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800007,09DPR0134D,09DPR4021B,,,AURELIO HIDALGO,Primaria,Álvaro Obregón,-99.248762,19.331728,0901000011699,010,1699,936,Estadística 911,936,914,892,871,851,831,811,792,774,755,737,720,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800008,09DJN1326J,,,,AVE REAL,Preescolar,Álvaro Obregón,-99.238499,19.36199,0901000011627,010,1627,77,Estadística 911,77,75,72,69,67,64,62,60,58,56,54,52,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800009,09DPR1761B,09DBA0115M,09DBS0024U,,BARTOLOME DE MEDINA,Primaria,Álvaro Obregón,-99.199525,19.401451,0901000010012,010,0012,410,Estadística 911,410,400,391,382,373,364,356,347,339,331,323,315,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800010,09DJN0480W,,,,BARTOLOME DE MEDINA,Preescolar,Álvaro Obregón,-99.199396,19.401494,0901000010012,010,0012,144,Estadística 911,144,139,134,129,125,120,116,112,108,104,100,97,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800011,09DPR1884L,09DPR1886J,,,BATALLON DE SAN PATRICIO,Primaria,Álvaro Obregón,-99.21316,19.34415,0901000011171,010,1171,304,Estadística 911,304,297,290,283,276,270,264,257,251,245,239,234,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800012,09DPR1885K,,,,BENEMERITO DE LAS AMERICAS,Primaria,Álvaro Obregón,-99.174811,19.356951,0901000011006,010,1006,161,Estadística 911,161,157,154,150,146,143,139,136,133,130,127,124,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800013,09DES0332X,09DSN0055S,,,BICENTENARIO DE LA INDEPENDENCIA,Secundaria,Álvaro Obregón,-99.203738,19.336272,0901000011237,010,1237,286,Estadística 911,286,280,275,270,265,260,255,250,245,241,236,231,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800014,09DPR1882N,09DPR1881O,,,CARMEN SERDAN,Primaria,Álvaro Obregón,-99.275783,19.330322,0901000011345,010,1345,905,Estadística 911,905,884,863,842,823,804,784,766,748,731,713,696,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800015,09DML0111B,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 37,Especial - CAM,Coyoacán,-99.128082,19.337469,0900300010516,003,0516,59,Estadística 911,59,62,64,67,70,72,75,79,82,85,89,93,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800016,09DML0059W,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 6,Especial - CAM,Álvaro Obregón,-99.204095,19.343242,090100001110A,010,110A,225,Estadística 911,225,234,244,254,265,276,288,300,312,325,339,353,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800017,09DML0060L,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 7,Especial - CAM,Álvaro Obregón,-99.251679,19.341988,0901000011148,010,1148,156,Estadística 911,156,162,169,176,184,191,199,208,216,225,234,244,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800018,09DPR1849F,,,,CLUB DE LEONES NUMERO 4,Primaria,Álvaro Obregón,-99.20164,19.371127,0901000010614,010,0614,396,Estadística 911,396,387,378,369,360,352,344,336,327,320,312,305,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
880018,09DPR1850V,,,,CLUB DE LEONES NUMERO 4,Primaria,Álvaro Obregón,-99.201808,19.371081,0901000010614,010,0614,487,Estadística 911,487,476,465,453,443,433,422,412,403,393,384,375,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800019,09DPR1920Z,09DPR1915O,,,DOCTOR PORFIRIO PARRA,Primaria,Álvaro Obregón,-99.194615,19.344925,0901000011129,010,1129,303,Estadística 911,303,296,290,282,276,269,263,257,251,245,239,234,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
880020,09DJN3000S,,,,"LABORATORIO PEDAGÓGICO ""LAURO AGUIRRE"" ANEXO A LA ENMJN",Preescolar,Álvaro Obregón,-99.186306,19.360887,0901000010987,010,0987,142,Estadística 911,142,137,132,127,123,118,114,110,106,102,99,95,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800021,09DST0011F,09DST0011F,,,ESCUELA SECUNDARIA TÉCNICA 11,Secundaria,Álvaro Obregón,-99.198628,19.340748,0901000011190,010,1190,1338,Estadística 911,1338,1312,1287,1262,1238,1215,1191,1169,1146,1124,1103,1081,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800022,09DST0117Z,,,,ESCUELA SECUNDARIA TÉCNICA 117,Secundaria,Álvaro Obregón,-99.237717,19.36231,0901000011627,010,1627,409,Estadística 911,409,402,393,386,379,371,364,357,350,344,337,330,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800023,09DST0021M,,,,ESCUELA SECUNDARIA TÉCNICA 21,Secundaria,Álvaro Obregón,-99.198864,19.377604,0901000010510,010,0510,705,Estadística 911,705,692,678,665,652,640,628,616,604,592,581,570,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800024,09DST0068G,,,,ESCUELA SECUNDARIA TÉCNICA 68,Secundaria,Álvaro Obregón,-99.272474,19.334371,0901000011330,010,1330,807,Estadística 911,807,791,777,762,747,733,719,705,692,679,665,653,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800025,09DPR0143L,,,,ESPERANZA VILLASANA HEREDIA,Primaria,Álvaro Obregón,-99.201392,19.39133,0901000011805,010,1805,328,Estadística 911,328,321,313,306,298,291,284,277,271,265,259,253,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800026,09DJN1084C,,,,ESTANCIA JARDIN INFANTIL NO. 17 D.I.F,Preescolar,Álvaro Obregón,-99.191135,19.3449,0901000011203,010,1203,63,Estadística 911,63,61,58,56,54,52,51,49,47,45,44,42,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800027,09DPR2239L,09DPR2240A,,,FRANCISCO GABILONDO SOLER,Primaria,Álvaro Obregón,-99.210329,19.358987,0901000010949,010,0949,253,Estadística 911,253,247,242,236,231,225,219,214,210,204,199,195,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800028,09DPR1895R,,,,GASPAR MELCHOR DE JOVELLANOS,Primaria,Álvaro Obregón,-99.200009,19.346186,090100001110A,010,110A,220,Estadística 911,220,215,210,205,200,195,191,186,182,177,174,169,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800029,09DPR1750W,,,,GENERAL ANTONIO ROSALES,Primaria,Álvaro Obregón,-99.246043,19.378969,0901000011472,010,1472,364,Estadística 911,364,356,348,339,331,323,316,308,301,294,287,280,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800030,09DPR1931F,,,,GRAL. JUAN N. ÁLVAREZ,Primaria,Coyoacán,-99.176051,19.337149,0900300010272,003,0272,211,Estadística 911,211,206,201,197,192,187,183,179,174,170,166,163,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800031,09DPR1934C,,,,GRAL. JUAN N. ÁLVAREZ,Primaria,Álvaro Obregón,-99.201257,19.334569,0901000011237,010,1237,179,Estadística 911,179,175,171,167,163,159,155,151,148,145,141,138,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800032,09DPR1477F,09DBN0065Z,,,GUADALUPE VICTORIA,Primaria,Benito Juárez,-99.16684,19.359685,0901400010967,014,0967,498,Estadística 911,498,486,475,464,453,442,432,421,412,402,392,383,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800033,09DPR2117A,09DPR5016X,,,JOSÉ MARIA TAPIA FREYDING,Primaria,Álvaro Obregón,-99.25445,19.357039,090100001231A,010,231A,555,Estadística 911,555,542,529,516,504,492,481,469,458,448,437,427,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800034,09DPR2122M,09DPR2121N,,,HEROES DE LA NAVAL,Primaria,Álvaro Obregón,-99.20359,19.375119,0901000010493,010,0493,256,Estadística 911,256,250,244,239,233,228,222,217,212,207,202,197,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800035,09DPR1834D,,,,IGNACIO LÓPEZ RAYON,Primaria,Álvaro Obregón,-99.194078,19.397738,0901000010065,010,0065,272,Estadística 911,272,265,259,253,247,241,235,230,225,219,214,209,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800036,09DES0279S,09DES4279T,,,JOHN DEWEY,Secundaria,Álvaro Obregón,-99.260173,19.32464,090100001167A,010,167A,1105,Estadística 911,1105,1083,1063,1043,1023,1003,984,965,947,928,911,893,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800037,09DPR1832F,,,,JOSÉ AGUSTIN RAMIREZ ALTAMIRANO,Primaria,Álvaro Obregón,-99.207518,19.388184,0901000010262,010,0262,453,Estadística 911,453,442,431,422,411,402,393,383,374,365,357,349,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800038,09DPR1823Y,09DPR1824X,,,JOSÉ OJEDA GARDUÑO,Primaria,Álvaro Obregón,-99.214166,19.387467,0901000010173,010,0173,430,Estadística 911,430,420,410,400,391,382,373,364,355,347,339,331,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800039,09DPR0878U,,,,JOSEFINA RODRIGUEZ SOLIS GUDIÑO,Primaria,Álvaro Obregón,-99.203409,19.380727,0901000012112,010,2112,301,Estadística 911,301,294,287,280,273,267,261,255,249,243,237,232,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800040,09DES0021U,,,,JOVITA A. ELGUERO,Secundaria,Álvaro Obregón,-99.193045,19.394349,0901000010135,010,0135,638,Estadística 911,638,626,614,602,591,579,568,558,547,536,527,516,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800041,09DPR1865X,09DPR1864Y,,,JUAN A. MATEOS,Primaria,Álvaro Obregón,-99.218828,19.371384,0901000010578,010,0578,337,Estadística 911,337,329,321,314,306,299,292,286,279,272,265,259,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800042,09DJN0960D,,,,JUAN O'GORMAN,Preescolar,Álvaro Obregón,-99.24758,19.363668,0901000012080,010,2080,173,Estadística 911,173,167,161,155,150,145,139,134,130,125,121,116,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800043,09DJN0664C,,,,LEON GUZMÁN,Preescolar,Álvaro Obregón,-99.213665,19.371839,0901000010578,010,0578,64,Estadística 911,64,62,60,58,55,54,51,50,48,46,45,43,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800044,09DPR1900M,,,,LIC. EDUARDO FACHA GUTIERREZ,Primaria,Álvaro Obregón,-99.212334,19.358451,0901000012184,010,2184,132,Estadística 911,132,129,126,123,120,117,115,112,109,107,104,101,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800045,09DJN1327I,,,,LIC. LUIS DONALDO COLOSIO MURRIETA,Preescolar,Álvaro Obregón,-99.218521,19.382026,0901000011951,010,1951,138,Estadística 911,138,133,128,124,119,115,111,107,103,99,96,93,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800046,09DJN0115Z,,,,LUIS MORQUIO,Preescolar,Álvaro Obregón,-99.232556,19.34571,0901000011078,010,1078,77,Estadística 911,77,75,72,69,67,64,62,60,58,56,54,52,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800047,09DPR1816O,,,,MAESTRO LEOPOLDO GARCÍA VEYRAN,Primaria,Álvaro Obregón,-99.202991,19.393615,0901000010101,010,0101,244,Estadística 911,244,239,233,228,222,217,212,207,202,197,193,188,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800048,09DJN0548M,09DJN1158D,,,MANUEL CERVANTES IMAZ,Preescolar,Álvaro Obregón,-99.257255,19.328731,090100001167A,010,167A,307,Estadística 911,307,296,285,275,265,256,247,238,230,221,213,206,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
